Entité financire programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;33;Action culturelle;012;Ch.de pers., frais ass.;903197;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;421;Centres de loisirs;012;Ch.de pers., frais ass.;1708874;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6132;Locations immobilires;213;Classes regroupées;011;Ch.  caract. gén.;3800;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;33;Action culturelle;21;Immob. corporelles;570000;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2804172;Amortissement des subventions d'équipement versées aux autres établissements publics locaux - Bâtiments et installations (O);01;Opération non ventilable;040;;473030;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28051;Amortissement des concessions et droits similaires, brevets, licences, logiciels, droits et valeurs similaires;01;Opération non ventilable;040;;3165500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6182;Documentation générale et technique;510;Services communs;011;Ch.  caract. gén.;4500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;415;Manifestations sportives;012;Ch.de pers., frais ass.;367;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;63;Aides  la famille;012;Ch.de pers., frais ass.;6712;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28182;Amortissements du matériel de transport;01;Opération non ventilable;040;;1843694;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);820;Services communs;011;Ch.  caract. gén.;13650;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;820;Services communs;21;Immob. corporelles;1900;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);524;Autres services;011;Ch.  caract. gén.;3000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services  caractre social;421;Centres de loisirs;70;Prod. des services;815000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;025;Aides aux associations (non classées ailleurs);011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);823;Espaces verts urbains;011;Ch.  caract. gén.;4500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6078;Autres marchandises;322;Musées;011;Ch.  caract. gén.;135000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60621;Combustibles;33;Action culturelle;011;Ch.  caract. gén.;50;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6251;Voyages et déplacements;322;Musées;011;Ch.  caract. gén.;2560;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615221;entretien et réparations de bâtiments publics;33;Action culturelle;011;Ch.  caract. gén.;5200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;023;Information, communication, publicité;011;Ch.  caract. gén.;96530;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7364;Prélevement sur les produits des jeux;90;Interventions économiques;73;Impôts et taxes;5000000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;38257;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;524;Autres services;012;Ch.de pers., frais ass.;6121;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;01;Opérations non ventilables;012;Ch.de pers., frais ass.;12051;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées  l'apprentissage;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;1607;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;10858;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;415;Manifestations sportives;012;Ch.de pers., frais ass.;184;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées  l'apprentissage;820;Services communs;012;Ch.de pers., frais ass.;1610;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;61;Services en faveur des personnes agées;011;Ch.  caract. gén.;200000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;42290;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6555;Contributions au C.N.F.P.T. (personnel privé d'emploi);020;Administration générale de la collectivité;65;Autres ch d'activité;3200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;64;Crches et garderies;011;Ch.  caract. gén.;105000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6237;Publications;020;Administration générale de la collectivité;011;Ch.  caract. gén.;4000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);415;Manifestations sportives;70;Prod. des services;546300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6226;Honoraires;824;Autres opérations d'aménagement urbain;011;Ch.  caract. gén.;47706;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;522;Actions en faveur de l'enfance et de l'adolescence;21;Immob. corporelles;10000;0
Budget principal VT;Recette;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;020;Administration générale de la collectivité;16;Empr. et dettes ass.;10000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services  caractre social;522;Actions en faveur de l'enfance et de l'adolescence;70;Prod. des services;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60631;Fournitures d'entretien;510;Services communs;011;Ch.  caract. gén.;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);815;Transports urbains;011;Ch.  caract. gén.;7035;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;112;Police municipale;012;Ch.de pers., frais ass.;1106125;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6711;Intérts moratoires et pénalités sur marché;01;Opérations non ventilables;67;Ch. execpt.;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;64;Crches et garderies;012;Ch.de pers., frais ass.;430845;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;814;Eclairage public;011;Ch.  caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6241;Transports de biens;311;Expression musicale, lyrique et chorégraphique;011;Ch.  caract. gén.;1200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;627;Services bancaires et assimilés;821;Equipements de voirie;011;Ch.  caract. gén.;50000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);820;Services communs;70;Prod. des services;2500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;822;Voirie communale et routes;011;Ch.  caract. gén.;4550;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;30;Services communs;21;Immob. corporelles;491725;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2031;Frais d'études;40;Services communs;20;Immob. incorporelles;100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6256;Missions;33;Action culturelle;011;Ch.  caract. gén.;39850;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;321;Bibliothques et médiathques;77;Prod. exceptionnels;500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6065;Livres, disques, cassettes (bibliothques, médiatques);023;Information, communication, publicité;011;Ch.  caract. gén.;35230;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7477;Participations du budget communautaire et fonds structurels;048;Autres actions de coopération décentralisée;74;Dotations, subv.;78000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;1623;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;014;Atténuations de produits;739118;Autres reversements de fiscalité;95;Aides au tourisme;014;Atténuation de prod;2990000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6456;Versements au F.N.C. du supplément familial;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;620000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;62876;Divers - Au GFP de rattachement;01;Opérations non ventilables;011;Ch.  caract. gén.;6048418;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;020;Administration générale de la collectivité;21;Immob. corporelles;406907;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;64;Crches et garderies;012;Ch.de pers., frais ass.;214671;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;322;Musées;012;Ch.de pers., frais ass.;44483;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;523;Actions en faveur des personnes en difficulté;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;20;Services communs;012;Ch.de pers., frais ass.;13545;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6718;Autres charges exceptionnelles sur opérations de gestion;72;Aide au secteur locatif;67;Ch. execpt.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61551;Entretien et réparations dumatériel roulant;64;Crches et garderies;011;Ch.  caract. gén.;2293;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;40;Services communs;011;Ch.  caract. gén.;56560;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;491400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6226;Honoraires;510;Services communs;011;Ch.  caract. gén.;6300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6241;Transports de biens;423;Colonies de vacances;011;Ch.  caract. gén.;2500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;657348;Subventions de fonctionnement versées - Autres communes;423;Colonies de vacances;65;Autres ch d'activité;500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615221;entretien et réparations de bâtiments publics;20;Services communs;011;Ch.  caract. gén.;192000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;70;Services communs;012;Ch.de pers., frais ass.;72329;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28041582;Amortissement des subventions d'équipement versées aux autres groupements de collectivités - Bâtiments et installations (O);01;Opération non ventilable;040;;1706778;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;110;Services communs;012;Ch.de pers., frais ass.;3489;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;311;Expression musicale, lyrique et chorégraphique;011;Ch.  caract. gén.;1920;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6226;Honoraires;112;Police municipale;011;Ch.  caract. gén.;58000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7388;Autres taxes diverses;024;Ftes et cérémonies;73;Impôts et taxes;30000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;61;Services en faveur des personnes agées;21;Immob. corporelles;40000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;752;Revenus des immeubles;322;Musées;75;Autres prod. d'activité;48000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;321;Bibliothques et médiathques;011;Ch.  caract. gén.;103550;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;637;Autres impôts, taxes et versements assimilés (autres organismes);33;Action culturelle;011;Ch.  caract. gén.;18500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;324;Entretien du partrimoine culturel;011;Ch.  caract. gén.;51000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;823;Espaces verts urbains;21;Immob. corporelles;640668;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6261;Frais d'affranchissement;323;Archives;011;Ch.  caract. gén.;100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;657363;Subventions de fonctionnement aux établissements et services rattachés  caractre administratif;312;Arts plastiques et autres activités artistiques;65;Autres ch d'activité;4398631;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;313;Théâtres;012;Ch.de pers., frais ass.;9060;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;422;Autres activités pour les jeunes;65;Autres ch d'activité;487830;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;657363;Subventions de fonctionnement aux établissements et services rattachés  caractre administratif;313;Théâtres;65;Autres ch d'activité;900000;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1343;Fonds affectés  l'équipement non transférables - P.A.E. (Programme d'Aménagement d'Ensemble);824;Autres opérations d'aménagement urbain;13;Subventions;814860;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6257;Réceptions;524;Autres services;011;Ch.  caract. gén.;2564;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6161;Primes d'assurances multirisques;025;Aides aux associations (non classées ailleurs);011;Ch.  caract. gén.;5000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70631;Redevances et droits des services  caractre sportif;422;Autres activités pour les jeunes;70;Prod. des services;104064;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7083;Locations diverses (autres qu'immeubles);422;Autres activités pour les jeunes;70;Prod. des services;16500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6182;Documentation générale et technique;313;Théâtres;011;Ch.  caract. gén.;500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services  caractre culturel;33;Action culturelle;70;Prod. des services;698500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2031;Frais d'études;324;Entretien du partrimoine culturel;20;Immob. incorporelles;280000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;323;Archives;012;Ch.de pers., frais ass.;3676;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;615232;Entretien et réparations réseaux;520;Services communs;011;Ch.  caract. gén.;264000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;814;Eclairage public;012;Ch.de pers., frais ass.;4387;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées  l'apprentissage;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;49;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;020;Administration générale de la collectivité;011;Ch.  caract. gén.;2028786;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;3185;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1323;Subventions d'équipement non transférables - Départements;213;Classes regroupées;13;Subventions;162000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;020;Administration générale de la collectivité;21;Immob. corporelles;13227085;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;658;Charges diverses de la gestion courante;255;Classes de découverte et autres services annexes de l'enseignement;65;Autres ch d'activité;260000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;114;Autres services de protection civile;012;Ch.de pers., frais ass.;22876;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;64;Crches et garderies;21;Immob. corporelles;1123500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;413;Piscines;011;Ch.  caract. gén.;500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;524;Autres services;012;Ch.de pers., frais ass.;281216;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6247;Transports collectifs;423;Colonies de vacances;011;Ch.  caract. gén.;124950;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services  caractre social;423;Colonies de vacances;70;Prod. des services;285000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6132;Locations immobilires;411;Salles de sports, gymnases;011;Ch.  caract. gén.;3500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;29955;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;34019;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6532;Frais de mission des maires, adjoints et conseillers;021;Assemblée locale;65;Autres ch d'activité;83200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;66;Charges financires;6615;Intérts des comptes courants et de dépots créditeurs;01;Opérations non ventilables;66;Charges fin.;100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;01;Opérations non ventilables;012;Ch.de pers., frais ass.;24078;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;114;Autres services de protection civile;012;Ch.de pers., frais ass.;13243;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;280422;Amortissement des subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations (O);01;Opération non ventilable;040;;714906;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;321;Bibliothques et médiathques;012;Ch.de pers., frais ass.;188101;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28184;Amortissements du mobilier;01;Opération non ventilable;040;;1397567;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;520;Services communs;011;Ch.  caract. gén.;71600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6156;Maintenance;323;Archives;011;Ch.  caract. gén.;500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6251;Voyages et déplacements;311;Expression musicale, lyrique et chorégraphique;011;Ch.  caract. gén.;60392;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;814;Eclairage public;13;Subventions;30000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;311;Expression musicale, lyrique et chorégraphique;21;Immob. corporelles;72200;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;202;Frais d'études, d'élaboration, de modifications et de révisions des documents d'urbanisme;820;Services communs;20;Immob. incorporelles;60000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;324;Entretien du partrimoine culturel;65;Autres ch d'activité;27250;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;114;Autres services de protection civile;011;Ch.  caract. gén.;8000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6064;Fournitures administratives;025;Aides aux associations (non classées ailleurs);011;Ch.  caract. gén.;3000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2168;Autres collections et oeuvres d'art;33;Action culturelle;21;Immob. corporelles;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;322;Musées;011;Ch.  caract. gén.;187680;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;022;Administration générale de l'Etat;74;Dotations, subv.;60000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6156;Maintenance;823;Espaces verts urbains;011;Ch.  caract. gén.;27550;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;831;Aménagement des eaux;74;Dotations, subv.;47500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;66;Charges financires;66112;Intérts - Rattachement des ICNE;01;Opérations non ventilables;66;Charges fin.;0;240870
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;40;Services communs;012;Ch.de pers., frais ass.;4161196;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74123;Dotation de solidarité urbaine;01;Opération non ventilable;74;Dotations, subv.;5253642;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74127;Dotation nationale de péréquation;01;Opération non ventilable;74;Dotations, subv.;3997000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;112;Police municipale;012;Ch.de pers., frais ass.;64669;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;321;Bibliothques et médiathques;012;Ch.de pers., frais ass.;93689;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;40;Services communs;012;Ch.de pers., frais ass.;139162;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;212;Ecoles primaires;012;Ch.de pers., frais ass.;130148;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;64;Crches et garderies;012;Ch.de pers., frais ass.;173450;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6748;Autres subventions de fonctionnement exceptionnelles;524;Autres services;67;Ch. execpt.;620000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;520;Services communs;012;Ch.de pers., frais ass.;22461;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;90;Interventions économiques;012;Ch.de pers., frais ass.;365;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;823;Espaces verts urbains;21;Immob. corporelles;120287;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;110;Services communs;012;Ch.de pers., frais ass.;659951;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;112;Police municipale;012;Ch.de pers., frais ass.;6924515;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6714;Bourses et prix;22;Enseignement du deuxime degré;67;Ch. execpt.;2500;0
