Entité financière programme;Nomenclature;Nature AP/EPCP;Type mouvement;Section;Code chapitre;Libellé chapitre;Code article;Libellé article;Code fonction;Libellé fonction;Mt Voté BP
Budget principal VT;M14;Dépense;Réel;Investissement;20;Immobilisations incorporelles;2051;Concessions et droits similaires;323;Archives;20000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;20421;Subventions d'équipement versées aux personnes de droit privé - Biens mobiliers, matériel et études;33;Action culturelle;370000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;824;Autres opérations d'aménagement urbain;250000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2111;Terrains nus;213;Classes regroupées;1000000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2128;Autres agencements et aménagements;823;Espaces verts urbains;2662153
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2128;Autres agencements et aménagements;824;Autres opérations d'aménagement urbain;2434450
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2128;Autres agencements et aménagements;831;Aménagement des eaux;130000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;251;Hébergement et restauration scolaire;120000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;311;Expression musicale, lyrique et chorégraphique;170000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;321;Bibliothèques et médiathèques;385540
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;33;Action culturelle;1078000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;413;Piscines;1380000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;421;Centres de loisirs;305000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;422;Autres activités pour les jeunes;1160000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;423;Colonies de vacances;10000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;521;Services à caractère social pour handicapés et inadaptés;1000000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;71;Parc privé de la ville;100000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;90;Interventions économiques;393231
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;21534;Réseaux d'électrification;814;Eclairage public;4145000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;026;Cimetières et pompes funèbres;34000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;33;Action culturelle;7500
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;823;Espaces verts urbains;470000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2161;Oeuvres et objets d'art;33;Action culturelle;217000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2168;Autres collections et oeuvres d'art;524;Autres services;78370
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2182;Matériel de transport;423;Colonies de vacances;5000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2183;Matériel de bureau et matériel informatique;020;Administration générale de la collectivité;2314617
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2184;Mobilier;520;Services communs;56500
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2184;Mobilier;64;Crèches et garderies;428400
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;321;Bibliothèques et médiathèques;110500
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;322;Musées;417250
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;323;Archives;25000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;412;Stades;26000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;522;Actions en faveur de l'enfance et de l'adolescence;5000
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2313;Constructions en cours;213;Classes regroupées;3101825
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;213;Classes regroupées;2150000
Budget principal VT;M14;Dépense;Réel;Investissement;27;Autres immobilisations financières;274;Prêts;01;Opérations non ventilables;2260000
Budget principal VT;M14;Dépense;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;21311;Hôtel de ville;01;Opération non ventilable;100000
Budget principal VT;M14;Recette;Réel;Fonctionnement;013;Atténuations de charges;6419;Remboursements sur rémunérations du personnel;020;Administration générale de la collectivité;500000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70311;Concessions dans les cimetières (produit net);026;Cimetières et pompes funèbres;480000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;704;Travaux;020;Administration générale de la collectivité;8000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7064;Taxes de désinfection (service d'hygiène);510;Services communs;20000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7067;Redevances et droits des services périscolaires et d'enseignement;255;Classes de découverte et autres services annexes de l'enseignement;730000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7083;Locations diverses (autres qu'immeubles);311;Expression musicale, lyrique et chorégraphique;20000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);025;Aides aux associations (non classées ailleurs);10900
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);30;Services communs;3000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;73111;TAXES FONCIERES ET D HABITATION;01;Opérations non ventilables;215674288
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7338;Autres taxes;314;Cinémas et autres salles de spectacles;98000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7351;Taxe sur l'électricité;01;Opérations non ventilables;8065000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7351;Taxe sur l'électricité;020;Administration générale de la collectivité;71000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7388;Autres taxes diverses;024;Fêtes et cérémonies;60000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7388;Autres taxes diverses;824;Autres opérations d'aménagement urbain;600000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;746;Dotation générale de décentralisation;510;Services communs;2000000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;048;Autres actions de coopération décentralisée;925000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;251;Hébergement et restauration scolaire;85000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;824;Autres opérations d'aménagement urbain;70000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7478;Participations des autres organismes;020;Administration générale de la collectivité;300000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7478;Participations des autres organismes;33;Action culturelle;295000
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;752;Revenus des immeubles;020;Administration générale de la collectivité;1369926
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;752;Revenus des immeubles;313;Théâtres;482958
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;752;Revenus des immeubles;322;Musées;135000
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;752;Revenus des immeubles;412;Stades;200000
Budget principal VT;M14;Recette;Réel;Fonctionnement;75;Autres produits de gestion courante;752;Revenus des immeubles;523;Actions en faveur des personnes en difficulté;5000
Budget principal VT;M14;Recette;Réel;Fonctionnement;76;Produits financiers;768;Autres produits financiers;01;Opérations non ventilables;20000
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7788;Produits exceptionnels divers;01;Opérations non ventilables;7000000
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7788;Produits exceptionnels divers;323;Archives;83000
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);1322;Subventions d'équipement non transférables - Régions;412;Stades;2000000
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);1323;Subventions d'équipement non transférables - Départements;414;Autres équipements sportifs ou de loisir;647527
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);1327;Subventions d'équipement non transférables - Budget communautaire et fonds structurels;823;Espaces verts urbains;1189727
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;814;Eclairage public;30000
Budget principal VT;M14;Recette;Réel;Investissement;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;510;Services communs;100
Budget principal VT;M14;Recette;Réel;Investissement;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;94;Aides au commerce et aux services marchands;15000
Budget principal VT;M14;Recette;Réel;Investissement;27;Autres immobilisations financières;2764;Créances sur des particuliers et autres personnes de droit privé;01;Opérations non ventilables;4005480
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;2804112;Amortissement des subventions d'équipement versées à l'état - Bâtiments et installations;01;Opération non ventilable;661931
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28041642;Amortissement des subventions d'équipement versées aux établissements et services rattachés à caractère industriel et commercial - Bâtiments et installations;01;Opération non ventilable;16972
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28088;Amortissement des autres immobilisations incorporelles;01;Opération non ventilable;19680
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;281578;Amortissements d'autre matériel et outillage de voirie;01;Opération non ventilable;76774
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28188;Amortissements des autres immobilisations corporelles;01;Opération non ventilable;2390302
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60632;Fournitures de petit équipement;313;Théâtres;45000
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6065;Livres, disques, casettes (bibliothèques, médiatèques);313;Théâtres;14000
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;614;Charges locatives et de copropriété;313;Théâtres;2000
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6188;Autres frais divers;313;Théâtres;142500
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6228;Divers;313;Théâtres;900000
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6236;Catalogues et imprimés;313;Théâtres;355000
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6262;Frais de télécommunications;313;Théâtres;31500
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;627;Services bancaires et assimilés;313;Théâtres;7500
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;313;Théâtres;17973178
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6488;Autres charges;313;Théâtres;19000
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6541;Créances admises et non valeur;313;Théâtres;1000
Théâtre Orchestre du Capitole;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);313;Théâtres;75000
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6135;Locations, droits de passage et servitudes diverses - Locations mobilières;6135;Locations, droits de passage et servitudes diverses - Locations mobilières;500
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6152;Entretien et réparations - sur biens immobiliers;6152;Entretien et réparations - sur biens immobiliers;1500
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61551;Entretien et réparations - Matériel roulant;61551;Entretien et réparations - Matériel roulant;20000
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6156;Entretien et réparations - Maintenance;6156;Entretien et réparations - Maintenance;10000
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6168;Primes d'assurances - Autres;6168;Primes d'assurances - Autres;5000
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6261;Frais postaux et de télécommunications - Frais d'affranchissement;6261;Frais postaux et de télécommunications - Frais d'affranchissement;2800
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6414;Rémunérations du personnel - Indemnités et avantages divers;6414;Rémunérations du personnel - Indemnités et avantages divers;570000
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;66;Charges financières;668;Autres charges financières;668;Autres charges financières;100
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6711;Charges exceptionnelles sur opérations de gestion - Intérêts moratoires et pénalités sur marchés;6711;Charges exceptionnelles sur opérations de gestion - Intérêts moratoires et pénalités sur marchés;100
Pompes Funèbres;M4;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6743;Subventions exceptionnelles - Subventions exceptionnelles de fonctionnement;6743;Subventions exceptionnelles - Subventions exceptionnelles de fonctionnement;32000
Pompes Funèbres;M4;Recette;Réel;Fonctionnement;013;Atténuations de charges;60372;Variations des stocks - Variation des stocks de marchandises (Recette);60372;Variations des stocks - Variation des stocks de marchandises (Recette);250000
Pompes Funèbres;M4;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28182;Amortissements des immobilisations corporelles - Matériel de transport;28182;Amortissements des immobilisations corporelles - Matériel de transport;23489
Crématorium;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6063;Achats non stockés de matière et fournitures - Fournitures d'entretien et de petit équipement;6063;Achats non stockés de matière et fournitures - Fournitures d'entretien et de petit équipement;4000
Crématorium;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6152;Entretien et réparations - sur biens immobiliers;6152;Entretien et réparations - sur biens immobiliers;24000
Crématorium;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6226;Rémunérations d'intermédiaires et honoraires - Honoraires;6226;Rémunérations d'intermédiaires et honoraires - Honoraires;500
Crématorium;M4;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6256;Déplacements, missions et réceptions - Missions;6256;Déplacements, missions et réceptions - Missions;1000
Crématorium;M4;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6411;Rémunérations du personnel - Salaires, appointements, commissions de base;6411;Rémunérations du personnel - Salaires, appointements, commissions de base;257000
Crématorium;M4;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6743;Subventions exceptionnelles - Subventions exceptionnelles de fonctionnement;6743;Subventions exceptionnelles - Subventions exceptionnelles de fonctionnement;9200
Crématorium;M4;Dépense;Réel;Investissement;21;Immobilisations corporelles;2183;Autres immobilisations corporelles - Matériel de bureau et matériel informatique;2183;Autres immobilisations corporelles - Matériel de bureau et matériel informatique;4500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60622;Carburants;422;Autres activités pour les jeunes;4620
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60611;Eau et assainissement;823;Espaces verts urbains;1022657
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60622;Carburants;415;Manifestations sportives;100
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60621;Combustibles;423;Colonies de vacances;300
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60622;Carburants;421;Centres de loisirs;2850
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60623;Alimentation;33;Action culturelle;6450
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60623;Alimentation;322;Musées;8500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;114;Autres services de protection civile;22908
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;321;Bibliothèques et médiathèques;238359
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;522;Actions en faveur de l'enfance et de l'adolescence;26989
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;524;Autres services;33711
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;831;Aménagement des eaux;5798
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;213;Classes regroupées;55082
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;30;Services communs;242745
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;323;Archives;158960
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;33;Action culturelle;154862
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;520;Services communs;699317
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;524;Autres services;218849
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;64;Crèches et garderies;1892975
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64118;Autres indemnités;70;Services communs;91967
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;020;Administration générale de la collectivité;2805676
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;024;Fêtes et cérémonies;52958
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;112;Police municipale;143161
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;211;Ecoles maternelles;40334
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;323;Archives;221013
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;40;Services communs;1626142
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;522;Actions en faveur de l'enfance et de l'adolescence;510296
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;523;Actions en faveur des personnes en difficulté;285
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;822;Voirie communale et routes;105463
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;322;Musées;102100
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;40;Services communs;235954
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;523;Actions en faveur des personnes en difficulté;11602
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;823;Espaces verts urbains;284887
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;01;Opérations non ventilables;220008
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;048;Autres actions de coopération décentralisée;2371
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;112;Police municipale;994966
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;212;Ecoles primaires;2032030
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;213;Classes regroupées;978321
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;415;Manifestations sportives;4920
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;522;Actions en faveur de l'enfance et de l'adolescence;130150
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;523;Actions en faveur des personnes en difficulté;8170
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;110;Services communs;206877
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;112;Police municipale;1764380
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;20;Services communs;972217
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;251;Hébergement et restauration scolaire;611101
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;423;Colonies de vacances;13817
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;522;Actions en faveur de l'enfance et de l'adolescence;174531
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;524;Autres services;219080
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;823;Espaces verts urbains;2912631
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6456;Versements au F.N.C. du supplément familial;020;Administration générale de la collectivité;980834
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;322;Musées;1139
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;824;Autres opérations d'aménagement urbain;1567
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;023;Information, communication, publicité;34720
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6475;Médecine du travail, pharmacie;020;Administration générale de la collectivité;15000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6488;Autres charges;020;Administration générale de la collectivité;200000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;322;Musées;66000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6554;Contributions aux organismes de regroupement;831;Aménagement des eaux;286800
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6558;Autres contributions obligatoires;422;Autres activités pour les jeunes;15000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;657348;Subventions de fonctionnement versées - Autres communes;313;Théâtres;19053518
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;657348;Subventions de fonctionnement versées - Autres communes;423;Colonies de vacances;500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;422;Autres activités pour les jeunes;468756
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;112;Police municipale;54600
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;521;Services à caractère social pour handicapés et inadaptés;100000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;65;Autres charges de gestion courante;65743;subv pers dt privé-drh-syndicats;020;Administration générale de la collectivité;13000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;656;Frais de fonctionnement des groupes d'élus;6562;Matériel, équipement et fournitures;01;Opération non ventilable;25000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6714;Bourses et prix;23;Enseignement supérieur;25000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;67441;Subventions de fonctionnement exceptionnelles aux budgets annexes et aux régies dotées de la seule autonomie financière;92;Aides à l'agricultures et aux industries agro-alimentaires;280000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;67443;Subventions de fonctionnement exceptionnelles aux fermiers et aux concessionnaires;322;Musées;5028482
Budget principal VT;M14;Dépense;Réel;Fonctionnement;67;Charges exceptionnelles;6748;Autres subventions de fonctionnement exceptionnelles;33;Action culturelle;293000
