Entité financière programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;020;Administration générale de la collectivité;23;Travaux en cours;1402704;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21534;Réseaux d'électrification;814;Eclairage public;21;Immob. corporelles;3515000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);023;Information, communication, publicité;011;Ch. à caract. gén.;25000;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2804113;Amortissement des subventions d'équipement versées à l'état - Projet d'infrastructures d'intérêt national (O);01;Opération non ventilable;28;Amort. des immobilisations;51283;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;323;Archives;21;Immob. corporelles;5000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);816;Autres réseaux et services divers;70;Prod. des services;3400000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;33;Action culturelle;74;Dotations, subv.;148000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);020;Administration générale de la collectivité;011;Ch. à caract. gén.;13500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;025;Aides aux associations (non classées ailleurs);21;Immob. corporelles;46500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;022;Administration générale de l'Etat;011;Ch. à caract. gén.;64640;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65731;Subventions de fonctionnement à l'état;824;Autres opérations d'aménagement urbain;65;Autres ch d'activité;30000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;61;Services en faveur des personnes agées;204;;400000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;820;Services communs;012;Ch.de pers., frais ass.;214021;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;412;Stades;011;Ch. à caract. gén.;10400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61551;Entretien et réparations dumatériel roulant;423;Colonies de vacances;011;Ch. à caract. gén.;1950;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;411301;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;71;Parc privé de la ville;204;;230000;0
Budget principal VT;Recette;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;020;Administration générale de la collectivité;16;Empr. et dettes ass.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;1445;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;1627;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6555;Contributions au C.N.F.P.T. (personnel privé d'emploi);020;Administration générale de la collectivité;65;Autres ch d'activité;3200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;411;Salles de sports, gymnases;011;Ch. à caract. gén.;8000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6228;Divers;411;Salles de sports, gymnases;011;Ch. à caract. gén.;2500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;112;Police municipale;012;Ch.de pers., frais ass.;58166;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;64;Crèches et garderies;012;Ch.de pers., frais ass.;418520;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;820;Services communs;012;Ch.de pers., frais ass.;1229;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7411;Dotation forfaitaire;01;Opération non ventilable;74;Dotations, subv.;76070739;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;251;Hébergement et restauration scolaire;011;Ch. à caract. gén.;2050;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);415;Manifestations sportives;70;Prod. des services;501300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;112;Police municipale;012;Ch.de pers., frais ass.;28086;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;520;Services communs;012;Ch.de pers., frais ass.;69687;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;112;Police municipale;65;Autres ch d'activité;58100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;63;Aides à la famille;012;Ch.de pers., frais ass.;109112;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;421;Centres de loisirs;012;Ch.de pers., frais ass.;28025;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;607;Achats de marchandises;607;Achats de marchandises;011;;180000;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;6251;Déplacements, missions et réceptions - Voyages et déplacements;6251;Déplacements, missions et réceptions - Voyages et déplacements;011;;1500;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;65;Autres charges de gestion courante;6541;Créances admises et non valeur;313;Théâtres;65;Autres ch d'activité;1000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70388;Autres redevances et recettes diverses;01;Opérations non ventilables;70;Prod. des services;1512000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;824;Autres opérations d'aménagement urbain;011;Ch. à caract. gén.;246200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;421;Centres de loisirs;011;Ch. à caract. gén.;5300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;321;Bibliothèques et médiathèques;011;Ch. à caract. gén.;109400;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;823;Espaces verts urbains;21;Immob. corporelles;500000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;422;Autres activités pour les jeunes;65;Autres ch d'activité;483000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;114;Autres services de protection civile;012;Ch.de pers., frais ass.;116717;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;281538;Amortissements des autres réseaux;01;Opération non ventilable;28;Amort. des immobilisations;330690;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2031;Frais d'études;822;Voirie communale et routes;20;Immob. incorporelles;130000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;524;Autres services;65;Autres ch d'activité;1024480;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28041582;Amortissement des subventions d'équipement versées aux autres groupements de collectivités - Bâtiments et installations (O);01;Opération non ventilable;28;Amort. des immobilisations;1706778;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;421;Centres de loisirs;65;Autres ch d'activité;2018000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;30;Services communs;012;Ch.de pers., frais ass.;194842;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;323;Archives;011;Ch. à caract. gén.;1000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2313;Constructions en cours;33;Action culturelle;23;Travaux en cours;11360065;0
Théâtre Orchestre du Capitole;Dépense;Réel;Investissement;M14;21;Immobilisations corporelles;21533;Réseaux cablés;313;Théâtres;21;Immob. corporelles;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;311;Expression musicale, lyrique et chorégraphique;011;Ch. à caract. gén.;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;311;Expression musicale, lyrique et chorégraphique;011;Ch. à caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6228;Divers;313;Théâtres;011;Ch. à caract. gén.;1200;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;020;Administration générale de la collectivité;77;Prod. exceptionnels;3513000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);025;Aides aux associations (non classées ailleurs);70;Prod. des services;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6156;Maintenance;020;Administration générale de la collectivité;011;Ch. à caract. gén.;5847854;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1322;Subventions d'équipement non transférables - Régions;321;Bibliothèques et médiathèques;13;Subventions;0;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2313;Constructions en cours;213;Classes regroupées;23;Travaux en cours;79657979;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;33;Action culturelle;012;Ch.de pers., frais ass.;253576;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;520;Services communs;012;Ch.de pers., frais ass.;2155145;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61522;Entretien et réparations des bâtiments;524;Autres services;011;Ch. à caract. gén.;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;831;Aménagement des eaux;012;Ch.de pers., frais ass.;67854;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;255;Classes de découverte et autres services annexes de l'enseignement;74;Dotations, subv.;1500000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;40;Services communs;65;Autres ch d'activité;6442380;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;752;Revenus des immeubles;414;Autres équipements sportifs ou de loisir;75;Autres prod. d'activité;25000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;251;Hébergement et restauration scolaire;011;Ch. à caract. gén.;67950;0
Budget principal VT;Dépense;Ordre;Fonctionnement;M14V;042;Opérations d'ordre de transfert entre sections;676;Différences sur réalisations (positives) transférées en investissement;01;Opération non ventilable;042;;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;40;Services communs;011;Ch. à caract. gén.;69850;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;110;Services communs;012;Ch.de pers., frais ass.;3828;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;64;Crèches et garderies;012;Ch.de pers., frais ass.;208408;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;021;Assemblée locale;012;Ch.de pers., frais ass.;282515;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;820;Services communs;012;Ch.de pers., frais ass.;78678;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;415;Manifestations sportives;011;Ch. à caract. gén.;3000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;421;Centres de loisirs;012;Ch.de pers., frais ass.;575074;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées à l'apprentissage;20;Services communs;012;Ch.de pers., frais ass.;191;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;520;Services communs;21;Immob. corporelles;42210;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;012;Charges de personnel et frais assimilés;64118;Autres indemnités;313;Théâtres;012;Ch.de pers., frais ass.;1185000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);114;Autres services de protection civile;011;Ch. à caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6236;Catalogues et imprimés;33;Action culturelle;011;Ch. à caract. gén.;177500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6248;Divers;422;Autres activités pour les jeunes;011;Ch. à caract. gén.;5600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;322;Musées;65;Autres ch d'activité;75190;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6231;Annonces et insertions;322;Musées;011;Ch. à caract. gén.;342200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6182;Documentation générale et technique;421;Centres de loisirs;011;Ch. à caract. gén.;950;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;114;Autres services de protection civile;012;Ch.de pers., frais ass.;13145;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;321;Bibliothèques et médiathèques;012;Ch.de pers., frais ass.;187564;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;33;Action culturelle;65;Autres ch d'activité;10658554;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2168;Autres collections et oeuvres d'art;321;Bibliothèques et médiathèques;21;Immob. corporelles;1410000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;415;Manifestations sportives;012;Ch.de pers., frais ass.;4489;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;311;Expression musicale, lyrique et chorégraphique;011;Ch. à caract. gén.;12000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;421;Centres de loisirs;21;Immob. corporelles;15000;0
Théâtre Orchestre du Capitole;Recette;Réel;Fonctionnement;M14;74;Dotations, subventions et participations;7472;Participations des régions;313;Théâtres;74;Dotations, subv.;584640;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74834;Etat - Compensation au titre des exonérations des taxes foncières;01;Opérations non ventilables;74;Dotations, subv.;988338;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;611;Contrats de prestations de services;313;Théâtres;011;Ch. à caract. gén.;1180000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6156;Maintenance;823;Espaces verts urbains;011;Ch. à caract. gén.;29000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;33;Action culturelle;21;Immob. corporelles;58000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;29751;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;022;Administration générale de l'Etat;011;Ch. à caract. gén.;7000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;022;Administration générale de l'Etat;74;Dotations, subv.;300000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;001;Résultats d'investissement reportés;1;Résultats d'investissement reportés;01;Opération non ventilable;001;;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;63;Aides à la famille;012;Ch.de pers., frais ass.;99719;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60628;Autres fournitures non stockées;020;Administration générale de la collectivité;011;Ch. à caract. gén.;9000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;213;Classes regroupées;012;Ch.de pers., frais ass.;50940;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;323;Archives;012;Ch.de pers., frais ass.;8080;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;114;Autres services de protection civile;012;Ch.de pers., frais ass.;22762;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;12238;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;021;Assemblée locale;012;Ch.de pers., frais ass.;91399;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;323;Archives;012;Ch.de pers., frais ass.;251337;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6226;Honoraires;114;Autres services de protection civile;011;Ch. à caract. gén.;15000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;511;Dispensaires et autres établissements sanitaires;204;;131000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;522;Actions en faveur de l'enfance et de l'adolescence;012;Ch.de pers., frais ass.;2980;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64116;Indemnités de préavis et de licenciement;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;4610;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;814;Eclairage public;012;Ch.de pers., frais ass.;4402;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;627;Services bancaires et assimilés;520;Services communs;011;Ch. à caract. gén.;3000;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;6168;Primes d'assurances - Autres;6168;Primes d'assurances - Autres;011;;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;822;Voirie communale et routes;011;Ch. à caract. gén.;24500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6182;Documentation générale et technique;824;Autres opérations d'aménagement urbain;011;Ch. à caract. gén.;3800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;422;Autres activités pour les jeunes;65;Autres ch d'activité;45000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;026;Cimetières et pompes funèbres;012;Ch.de pers., frais ass.;304199;0
Budget principal VT;Dépense;Réel;Investissement;M14V;26;Participations et créances rattachées à des participations;261;Titres de participation;01;Opérations non ventilables;26;Particip. créances ratt.;2098337;0
Budget principal VT;Recette;Ordre;Investissement;M14V;021;Virement de la section de fonctionnement;21;Virement de la section de fonctionnement;01;Opération non ventilable;021;;19987152;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1327;Subventions d'équipement non transférables - Budget communautaire et fonds structurels;824;Autres opérations d'aménagement urbain;13;Subventions;292001;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;758;Produits divers de gestion courante;421;Centres de loisirs;75;Autres prod. d'activité;1200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;211;Ecoles maternelles;012;Ch.de pers., frais ass.;479239;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;322;Musées;012;Ch.de pers., frais ass.;1337224;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61523;Entretien et réparations des voies et réseaux;831;Aménagement des eaux;011;Ch. à caract. gén.;80000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;350259;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2168;Autres collections et oeuvres d'art;323;Archives;21;Immob. corporelles;44000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2161;Oeuvres et objets d'art;323;Archives;21;Immob. corporelles;26250;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60623;Alimentation;311;Expression musicale, lyrique et chorégraphique;011;Ch. à caract. gén.;142000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;026;Cimetières et pompes funèbres;011;Ch. à caract. gén.;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60633;Fournitures de voirie;814;Eclairage public;011;Ch. à caract. gén.;470000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6257;Réceptions;021;Assemblée locale;011;Ch. à caract. gén.;30000;0
Budget principal VT;Dépense;Ordre;Fonctionnement;M14V;023;Virement à la section d'investissement;23;Virement à la section d'investissement;01;Opération non ventilable;023;;19987152;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1322;Subventions d'équipement non transférables - Régions;322;Musées;13;Subventions;44897;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;67441;Subventions de fonctionnement exceptionnelles aux budgets annexes et aux régies dotées de la seule autonomie financière;92;Aides à l'agricultures et aux industries agro-alimentaires;67;Ch. execpt.;252000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;112;Police municipale;011;Ch. à caract. gén.;700000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6535;Formation des maires, adjoints et conseillers;021;Assemblée locale;65;Autres ch d'activité;80000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;048;Autres actions de coopération décentralisée;65;Autres ch d'activité;100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;627;Services bancaires et assimilés;112;Police municipale;011;Ch. à caract. gén.;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;524;Autres services;011;Ch. à caract. gén.;1384500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;023;Information, communication, publicité;012;Ch.de pers., frais ass.;46275;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;510;Services communs;21;Immob. corporelles;85200;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;64;Crèches et garderies;13;Subventions;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;523;Actions en faveur des personnes en difficulté;65;Autres ch d'activité;1255172;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;321;Bibliothèques et médiathèques;011;Ch. à caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6231;Annonces et insertions;323;Archives;011;Ch. à caract. gén.;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6261;Frais d'affranchissement;323;Archives;011;Ch. à caract. gén.;200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;657363;Subventions de fonctionnement aux établissements et services rattachés à caractère administratif;312;Arts plastiques et autres activités artistiques;65;Autres ch d'activité;4355080;0
